,Team,GP_T,MPG_T,FGM_T,FGA_T,FG%_T,3PM_T,3PA_T,3P%_T,FTM_T,FTA_T,FT%_T,TOV_T,PF_T,ORB_T,DRB_T,RPG_T,APG_T,SPG_T,BPG_T,PPG_T,TS%_T,eFG%_T,Total S%_T,ORB%_T,DRB%_T,TRB%_T,AST%_T,TOV%_T,STL%_T,BLK%_T,PPS_T,FIC40_T,ORtg_T,DRtg_T,eDiff_T,Poss_T,Pace_T,Player,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Drafted
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,zion-williamson,9.0,13.2,0.68,8.2,11.0,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,40.8,0.7020000000000001,0.708,0.163,0.467,12.7,18.0,15.5,14.9,3.9,5.8,12.8,28.6,5.5,2.8,8.3,0.335,13.4,6.7,20.1,1
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,ja-morant,8.0,16.1,0.499,6.3,11.3,0.556,1.7,4.8,0.363,6.7,8.2,0.813,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,31.6,0.612,0.5529999999999999,0.29600000000000004,0.512,3.9,12.7,8.6,51.8,2.7,2.3,20.5,33.3,5.8,2.4,8.2,0.273,8.3,1.7,10.0,0
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,rj-barrett,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,23.3,0.532,0.506,0.338,0.319,4.8,17.2,11.2,23.5,1.4,1.2,13.2,32.2,3.8,2.7,6.5,0.194,6.5,2.1,8.6,0
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,deandre-hunter,5.4,10.4,0.52,4.2,7.6,0.55,1.2,2.8,0.43799999999999994,3.2,4.1,0.7829999999999999,1.4,3.7,5.1,2.0,0.6,0.6,1.4,2.0,15.2,24.3,0.618,0.579,0.266,0.39799999999999996,5.6,13.4,9.8,13.0,1.2,2.4,10.0,24.1,4.8,2.6,7.3,0.237,7.4,3.4,10.8,0
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,darius-garland,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,23.6,0.657,0.639,0.426,0.29600000000000004,1.6,13.7,7.7,25.7,1.7,1.5,19.6,27.9,0.4,0.1,0.5,0.14800000000000002,3.8,1.1,4.9,0
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,jarrett-culver,6.7,14.5,0.461,5.4,10.3,0.526,1.3,4.2,0.304,3.9,5.5,0.7070000000000001,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9,18.5,25.1,0.542,0.505,0.292,0.377,5.6,17.3,11.8,26.1,2.7,2.2,13.7,32.2,3.3,3.5,6.8,0.222,6.9,4.8,11.6,0
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,coby-white,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,0.353,3.0,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,19.2,0.556,0.516,0.523,0.293,1.3,11.3,6.4,24.4,2.0,1.3,15.5,26.8,2.4,1.7,4.1,0.165,5.2,2.8,8.0,0
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,jaxson-hayes,3.8,5.3,0.728,3.8,5.3,0.728,0.0,0.0,0.0,2.3,3.1,0.74,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,27.0,0.7390000000000001,0.728,0.0,0.5920000000000001,8.7,16.3,12.5,2.6,1.5,10.6,11.8,17.2,2.8,1.5,4.3,0.23,4.6,5.5,10.1,1
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,rui-hachimura,7.4,12.6,0.591,7.0,11.6,0.606,0.4,1.0,0.417,4.4,6.0,0.7390000000000001,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,28.6,0.639,0.608,0.077,0.477,5.9,16.9,12.1,9.1,1.7,2.4,10.7,28.1,4.7,2.7,7.4,0.264,6.4,2.9,9.4,0
2,New Orleans,82,48.2,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.7609999999999999,14.8,21.1,11.1,36.2,47.3,27.0,7.4,5.4,115.4,0.563,0.529,157.8,24.1,76.8,50.8,61.9,12.6,7.2,9.1,1.3,74.9,111.4,112.6,-1.3,8500.9,103.3,cam-reddish,4.3,12.0,0.35600000000000004,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,13.6,0.499,0.459,0.618,0.264,2.0,10.7,6.5,10.7,2.9,1.9,16.5,25.3,0.8,2.2,3.0,0.113,1.3,3.2,4.5,0
